paper_id,scilitbench_year,publication_year,publication_month,publication_date,evidence_source,evidence_detail,decision_basis
paper_4999.pdf,2025,2025,4,2025-04-14,manual_pdf_review,"Manual review of PDF: date line gives Received August 04, 2024; Accepted December 26, 2024; Published Online April 14, 2025. Crossref recovered September 2025 from published-print.",Manually adjudicated to Apr 2025 for PRISMA-LLM month-level analysis; prior recovered date was print issue month September 2025.
paper_6585.pdf,2025,2024,12,2024-12-14,crossref_doi_published-online,Crossref DOI 10.1007/s13187-024-02547-1; field=published-online; type=journal-article,Manually adjudicated to Dec 2024 using online-first date; prior 2025 annotation/print issue date conflicted with intended 2025 cutoff.
paper_13590.pdf,2025,2024,6,2024-06-26,crossref_doi_published-online,Crossref DOI 10.1057/s41269-024-00351-9; field=published-online; type=journal-article,Manually adjudicated to Jun 2024 using online-first date; prior 2025 annotation/print issue date conflicted with intended 2025 cutoff.
paper_9340.pdf,2025,2025,6,2025-06-10,manual_publisher_review,Manual publisher review: Oxford Academic article page gives Published: 10 June 2025; Crossref recovered December 2025 from published-print / issue assignment.,Manually adjudicated to Jun 2025 for PRISMA-LLM month-level analysis; prior recovered date was print issue month December 2025.
paper_14294.pdf,2025,2025,6,2025-06,manual_user_review,Manual user review: use June 2025 for PRISMA-LLM month-level analysis; prior recovered date was September 2025 print issue month.,Manually adjudicated to Jun 2025 for PRISMA-LLM month-level analysis.
paper_9545.pdf,2025,2025,2,2025-02,manual_user_review,Manual user review: use February 2025 for PRISMA-LLM month-level analysis; prior recovered date was August 2025 print issue month.,Manually adjudicated to Feb 2025 for PRISMA-LLM month-level analysis.
paper_16097.pdf,2025,2025,6,2025-06,manual_user_review,Manual user review: use June 2025 for PRISMA-LLM month-level analysis; prior recovered date was September 2025 print issue month.,Manually adjudicated to Jun 2025 for PRISMA-LLM month-level analysis.
paper_22556.pdf,2025,2025,5,2025-05,manual_user_review,Manual user review: use May 2025 for PRISMA-LLM month-level analysis; prior recovered date was August 2025 print issue month.,Manually adjudicated to May 2025 for PRISMA-LLM month-level analysis.
paper_7822.pdf,2025,2025,1,2025-01,manual_user_review,Manual user review: use January 2025 for PRISMA-LLM month-level analysis; prior recovered date was August 2025 print issue month.,Manually adjudicated to Jan 2025 for PRISMA-LLM month-level analysis.
paper_10115.pdf,2025,2025,5,2025-05,manual_user_review,Manual user review: use May 2025 for PRISMA-LLM month-level analysis; prior recovered date was September 2025 print issue month.,Manually adjudicated to May 2025 for PRISMA-LLM month-level analysis.
paper_13967.pdf,2025,2025,4,2025-04,manual_user_review,Manual user review: use April 2025 for PRISMA-LLM month-level analysis; prior recovered date was July 2025 print issue month.,Manually adjudicated to Apr 2025 for PRISMA-LLM month-level analysis.
paper_14967.pdf,2025,2025,6,2025-06,manual_cutoff_adjudication,"Manual cutoff adjudication: user directed this record should be placed in June 2025 because August cannot be used under the intended corpus cutoff. PLOS/PDF metadata gives received December 31, 2024; accepted July 15, 2025; published August 1, 2025.",Manually adjudicated to Jun 2025 for PRISMA-LLM month-level analysis under the intended corpus cutoff.
paper_17159.pdf,2025,2025,5,2025-05,manual_user_review,Manual user review: use May 2025 for PRISMA-LLM month-level analysis; PDF shows accepted 25 May 2025 and first-published line on 17 June 2025; prior recovered date was December 2025 print issue month.,Manually adjudicated to May 2025 for PRISMA-LLM month-level analysis.
